09:08:03 [restartedMain] INFO  AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@19fe73d: startup date [Mon Aug 05 09:08:03 CST 2019]; root of context hierarchy
09:08:10 [restartedMain] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.druid-com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties' of type [com.alibaba.druid.spring.boot.autoconfigure.properties.DruidStatProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:08:10 [restartedMain] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'advisor' of type [org.springframework.aop.support.RegexpMethodPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:08:10 [restartedMain] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$59132b9f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:08:10 [restartedMain] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.netflix.metrics.MetricsInterceptorConfiguration$MetricsRestTemplateConfiguration' of type [org.springframework.cloud.netflix.metrics.MetricsInterceptorConfiguration$MetricsRestTemplateConfiguration$$EnhancerBySpringCGLIB$$8b3fd1e0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:08:10 [restartedMain] INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$752d2e9c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:08:12 [restartedMain] INFO  TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8075 (http)
09:08:12 [restartedMain] INFO  StandardService - Starting service [Tomcat]
09:08:12 [restartedMain] INFO  StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.27
09:08:12 [localhost-startStop-1] INFO  [/] - Initializing Spring embedded WebApplicationContext
09:08:12 [localhost-startStop-1] INFO  ContextLoader - Root WebApplicationContext: initialization completed in 7033 ms
09:08:13 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'metricsFilter' to: [/*]
09:08:13 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
09:08:13 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
09:08:13 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
09:08:13 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
09:08:13 [localhost-startStop-1] INFO  DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
09:08:13 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'xssFilter' to urls: [/*]
09:08:13 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'webRequestLoggingFilter' to: [/*]
09:08:13 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
09:08:13 [localhost-startStop-1] INFO  FilterRegistrationBean - Mapping filter: 'applicationContextIdFilter' to: [/*]
09:08:13 [localhost-startStop-1] INFO  ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
09:08:13 [localhost-startStop-1] INFO  ServletRegistrationBean - Mapping servlet: 'statViewServlet' to [/druid/*]
09:08:13 [restartedMain] INFO  DruidDataSourceAutoConfigure - Init DruidDataSource
09:08:14 [restartedMain] ERROR DruidAbstractDataSource - oracle.jdbc.driver.OracleDriver is deprecated.
09:08:15 [restartedMain] INFO  DruidDataSource - {dataSource-1} inited
09:08:17 [restartedMain] INFO  [/] - jolokia: No access restrictor found, access to any MBean is allowed
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/dlsbrm/addNewSbData],methods=[PUT]}" onto public int com.dc.dlsb.rest.DlsbRmControllerRest.addNewSbData(com.dc.dlsb.vomodel.SbDataDbMod)
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/dlsbrm/findBysbOmsOrgid],methods=[GET]}" onto public java.util.List<com.dc.dlsb.model.DmeDrcDdrbCfg> com.dc.dlsb.rest.DlsbRmControllerRest.findBysbOmsOrgid(java.lang.String)
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/dlsbrm/getJzSbDataBy],methods=[GET]}" onto public com.dc.dlsb.model.DmeDrcSumJzData com.dc.dlsb.rest.DlsbRmControllerRest.getJzSbDataBy(java.lang.String,java.lang.String,java.lang.String)
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/dlsbrm/saveSbData],methods=[POST]}" onto public int com.dc.dlsb.rest.DlsbRmControllerRest.saveSbData(com.dc.dlsb.vomodel.SbDataDbMod)
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/dlsbrm/updateSbData],methods=[PUT]}" onto public int com.dc.dlsb.rest.DlsbRmControllerRest.updateSbData(com.dc.dlsb.vomodel.SbDataDbMod)
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/dlsbrm/findByDlldbId],methods=[GET]}" onto public com.dc.dlsb.model.DmeDrcDdrbCfg com.dc.dlsb.rest.DlsbRmControllerRest.findByDlldbId(java.lang.String)
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/dlsbrm/findBydclx],methods=[GET]}" onto public java.util.List<com.dc.dlsb.model.DmeDrcDdrbCfg> com.dc.dlsb.rest.DlsbRmControllerRest.findBydclx(java.lang.String[])
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/dlsbrm/getDcSbDataByDateAndDcid],methods=[GET]}" onto public com.dc.dlsb.model.DmeDrcSumFgpData com.dc.dlsb.rest.DlsbRmControllerRest.getDcSbDataByDateAndDcid(java.lang.String,java.lang.String)
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/swagger-resources/configuration/ui]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.UiConfiguration> springfox.documentation.swagger.web.ApiResourceController.uiConfiguration()
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/swagger-resources]}" onto public org.springframework.http.ResponseEntity<java.util.List<springfox.documentation.swagger.web.SwaggerResource>> springfox.documentation.swagger.web.ApiResourceController.swaggerResources()
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/swagger-resources/configuration/security]}" onto public org.springframework.http.ResponseEntity<springfox.documentation.swagger.web.SecurityConfiguration> springfox.documentation.swagger.web.ApiResourceController.securityConfiguration()
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
09:08:17 [restartedMain] INFO  RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
09:08:17 [restartedMain] WARN  URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
09:08:17 [restartedMain] INFO  URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
09:08:17 [restartedMain] INFO  DynamicPropertyFactory - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@135eb35
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/hystrix.stream/**]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.cloud.netflix.endpoint.ServletWrappingEndpoint.handle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/configprops || /configprops.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/health || /health.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.HealthMvcEndpoint.invoke(javax.servlet.http.HttpServletRequest,java.security.Principal)
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/dump || /dump.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/beans || /beans.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/archaius || /archaius.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/druid-endpoint || /druid-endpoint.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object com.alibaba.druid.spring.boot.autoconfigure.actuator.endpoint.DruidDataSourceMvcEndpoint.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/features || /features.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/autoconfig || /autoconfig.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/loggers/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.LoggersMvcEndpoint.get(java.lang.String)
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/loggers/{name:.*}],methods=[POST],consumes=[application/vnd.spring-boot.actuator.v1+json || application/json],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.LoggersMvcEndpoint.set(java.lang.String,java.util.Map<java.lang.String, java.lang.String>)
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/loggers || /loggers.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/info || /info.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/metrics/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.MetricsMvcEndpoint.value(java.lang.String)
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/metrics || /metrics.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/heapdump || /heapdump.json],methods=[GET],produces=[application/octet-stream]}" onto public void org.springframework.boot.actuate.endpoint.mvc.HeapdumpMvcEndpoint.invoke(boolean,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.io.IOException,javax.servlet.ServletException
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/trace || /trace.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/mappings || /mappings.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/service-registry/instance-status],methods=[GET]}" onto public org.springframework.http.ResponseEntity org.springframework.cloud.client.serviceregistry.endpoint.ServiceRegistryEndpoint.getStatus()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/service-registry/instance-status],methods=[POST]}" onto public org.springframework.http.ResponseEntity<?> org.springframework.cloud.client.serviceregistry.endpoint.ServiceRegistryEndpoint.setStatus(java.lang.String)
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/jolokia/**]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.actuate.endpoint.mvc.JolokiaMvcEndpoint.handle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) throws java.lang.Exception
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/env/{name:.*}],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EnvironmentMvcEndpoint.value(java.lang.String)
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/env || /env.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.mvc.EndpointMvcAdapter.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/refresh || /refresh.json],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.endpoint.GenericPostableMvcEndpoint.invoke()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/env],methods=[POST]}" onto public java.lang.Object org.springframework.cloud.context.environment.EnvironmentManagerMvcEndpoint.value(java.util.Map<java.lang.String, java.lang.String>)
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/env/reset],methods=[POST]}" onto public java.util.Map<java.lang.String, java.lang.Object> org.springframework.cloud.context.environment.EnvironmentManagerMvcEndpoint.reset()
09:08:19 [restartedMain] INFO  EndpointHandlerMapping - Mapped "{[/auditevents || /auditevents.json],methods=[GET],produces=[application/vnd.spring-boot.actuator.v1+json || application/json]}" onto public org.springframework.http.ResponseEntity<?> org.springframework.boot.actuate.endpoint.mvc.AuditEventsMvcEndpoint.findByPrincipalAndAfterAndType(java.lang.String,java.util.Date,java.lang.String)
09:08:19 [restartedMain] INFO  PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
09:08:20 [restartedMain] WARN  URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
09:08:20 [restartedMain] INFO  URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
09:08:20 [restartedMain] INFO  RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1f4cb6a: startup date [Mon Aug 05 09:08:05 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@19fe73d
09:08:20 [restartedMain] INFO  SimpleUrlHandlerMapping - Mapped URL path [/static/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
09:08:20 [restartedMain] INFO  SimpleUrlHandlerMapping - Mapped URL path [/resources/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
09:08:20 [restartedMain] INFO  SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
09:08:20 [restartedMain] INFO  SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
09:08:20 [restartedMain] INFO  ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in globalExceptionHandler
09:08:20 [restartedMain] INFO  SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
09:08:21 [restartedMain] INFO  DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/css/**'], Ant [pattern='/js/**'], Ant [pattern='/images/**'], Ant [pattern='/webjars/**'], Ant [pattern='/**/favicon.ico'], Ant [pattern='/error']]], []
09:08:21 [restartedMain] INFO  DefaultSecurityFilterChain - Creating filter chain: org.springframework.boot.actuate.autoconfigure.ManagementWebSecurityAutoConfiguration$LazyEndpointPathRequestMatcher@11e024d, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1fa4076, org.springframework.security.web.context.SecurityContextPersistenceFilter@18f167b, org.springframework.security.web.header.HeaderWriterFilter@1df3322, org.springframework.web.filter.CorsFilter@6db4c6, org.springframework.security.web.authentication.logout.LogoutFilter@1e6a110, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@109bb99, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6847f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@16d522d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@a983e6, org.springframework.security.web.session.SessionManagementFilter@1f05891, org.springframework.security.web.access.ExceptionTranslationFilter@174cb40, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5d0746]
09:08:21 [restartedMain] INFO  DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/**']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@deb629, org.springframework.security.web.context.SecurityContextPersistenceFilter@a95b21, org.springframework.security.web.header.HeaderWriterFilter@7335d5, org.springframework.security.web.authentication.logout.LogoutFilter@ce85c, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@b8dcaf, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1b1205c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@f571a2, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1051e42, org.springframework.security.web.session.SessionManagementFilter@849aaa, org.springframework.security.web.access.ExceptionTranslationFilter@d5b9d9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@a4cafc]
09:08:22 [restartedMain] INFO  OptionalLiveReloadServer - LiveReload server is running on port 35729
09:08:22 [restartedMain] WARN  EurekaStarterDeprecationWarningAutoConfiguration - spring-cloud-starter-eureka is deprecated as of Spring Cloud Netflix 1.4.0, please migrate to spring-cloud-starter-netflix-eureka
09:08:23 [restartedMain] INFO  AnnotationMBeanExporter - Registering beans for JMX exposure on startup
09:08:23 [restartedMain] INFO  AnnotationMBeanExporter - Bean with name 'statFilter' has been autodetected for JMX exposure
09:08:23 [restartedMain] INFO  AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
